rank,title,genre,platforms,release_date,developer,publisher,description
50,The Legend of Zelda: The Wind Waker,Adventure,"['GameCube', 'Wii U']",2002-12-13,Nintendo EAD,Nintendo,"The Legend of Zelda: The Wind Waker is an action-adventure game set in a vast flooded world where islands replace much of the old land. Players control Link as he sails the Great Sea aboard the King of Red Lions, exploring dungeons, solving puzzles, battling enemies, and searching for pieces of the Triforce to rescue his sister and confront Ganondorf. The game is known for its distinctive cel-shaded art style, expressive characters, and emphasis on ocean exploration. It introduced the Wind Waker baton, which lets Link control the wind and other musical functions to navigate and progress through the adventure."
51,Age of Empires II: The Age of Kings,RTS,['PC'],1999-09-30,Ensemble Studios,Microsoft,"Age of Empires II: The Age of Kings is a real-time strategy game set in the medieval era. Players choose from a variety of historical civilizations and build economies, train armies, and advance through the Ages while managing resources such as food, wood, gold, and stone. The game features a long single-player campaign based on historical events and figures, as well as competitive multiplayer battles. It is widely praised for its balanced civilization design, strategic depth, and engaging progression system, and it became one of the most influential RTS games ever made."
52,Banjo-Kazooie,Adventure,"['Nintendo 64', 'Xbox 360', 'Xbox One', 'Xbox Series X|S']",1998-06-29,Rare,Rare,"Banjo-Kazooie is a 3D platform adventure game in which players control Banjo, a friendly bear, and Kazooie, his bird companion, as they journey through colorful worlds to rescue Banjo’s sister Tooty from the witch Gruntilda. Developed by Rare, the game is known for its collectible-focused exploration, humorous writing, varied moveset, and memorable level design. Players navigate hub areas and themed worlds, collecting musical notes, jigsaw pieces called Jiggies, and other items to unlock new areas and progress through the adventure. The game became one of the defining platformers of the Nintendo 64 era and is widely praised for its charm, music, and polished gameplay."
53,Crash Bandicoot: Warped,Action,['PlayStation'],1998-10-31,Naughty Dog,Sony Computer Entertainment,"Crash Bandicoot: Warped is a 3D platform action game in which Crash and Coco travel through time to recover the stolen Crystals and prevent the evil Doctor Neo Cortex and Uka Uka from altering history. Players tackle a wide variety of levels set across different eras, including ancient Egypt, medieval castles, the Great Wall of China, and underwater ruins. The game expands on the series’ signature platforming with new playable mechanics such as vehicle stages, underwater sections, jet-skiing, motorcycle races, and time-trial challenges. It features tighter controls, polished graphics, and a larger move set than its predecessors, along with boss battles and secret levels that reward exploration. Widely praised for its variety, pace, and refinement, Warped is considered one of the standout titles in the original Crash Bandicoot trilogy."
54,System Shock 2,RPG,"['PC', 'Mac OS']",1999-08-11,Irrational Games,Electronic Arts,"System Shock 2 is a science-fiction action role-playing survival horror game set aboard the starship Von Braun. Players awaken from cryogenic sleep to investigate a deadly outbreak caused by a hostile parasitic cybernetic intelligence, SHODAN, while battling mutated crew members and rogue machines. The game blends first-person combat, stealth, hacking, psionic abilities, and character progression through an RPG skill system, creating a tense atmosphere where resources are scarce and choices matter. Widely regarded as a landmark immersive sim, it is praised for its deep systems, environmental storytelling, and oppressive horror atmosphere."
55,Diablo II: Lord of Destruction,RPG,['PC'],2001-06-29,Blizzard North,Blizzard Entertainment,"Diablo II: Lord of Destruction is the expansion to Diablo II, adding new story content, two playable classes, a fifth act, and major gameplay improvements. It introduces the Assassin and Druid, expands the level cap, adds new items and runewords, and features the snowy campaign of Act V as players battle Baal and the forces of the Burning Hells. The expansion is known for deep loot-driven action RPG gameplay, cooperative multiplayer through Battle.net, and lasting influence on the genre."
56,Baldur's Gate II: Shadows of Amn,RPG,['PC'],2000-09-21,BioWare,Interplay Entertainment,"Baldur's Gate II: Shadows of Amn is a classic isometric party-based role-playing game set in the Dungeons & Dragons Forgotten Realms universe. It follows the captured Child of Bhaal and their companions as they escape imprisonment and travel across the land of Amn, facing powerful enemies, political intrigue, and supernatural threats. The game is known for its deep branching dialogue, memorable companions, tactical real-time-with-pause combat, extensive character progression, and rich story-driven quest design. Widely regarded as one of the greatest RPGs ever made."
57,Silent Hill 2: Director's Cut,Survival,"['PlayStation 2', 'Xbox', 'PC']",2002-12-19,Team Silent,Konami,"Silent Hill 2: Director's Cut is an expanded edition of the acclaimed psychological survival horror game Silent Hill 2. It follows James Sunderland, who receives a mysterious letter from his dead wife and travels to the fog-shrouded town of Silent Hill in search of answers. As he explores the eerie streets and disturbing interiors, he encounters grotesque monsters, cryptic characters, and deeply unsettling visions that blur the line between reality and guilt-driven delusion. The Director's Cut includes additional content, such as the ""Born from a Wish"" side scenario featuring Maria, along with new endings and extra camera options in some versions. Known for its atmosphere, symbolism, emotional storytelling, and haunting soundtrack by Akira Yamaoka, Silent Hill 2 is widely regarded as one of the most influential horror games ever made."
58,Deus Ex,RPG,"['PC', 'Mac OS', 'PlayStation 2']",2000-06-26,Ion Storm,Eidos Interactive,"Deus Ex is a first-person action role-playing game set in a near-future cyberpunk world where conspiracy, corporate power, and advanced technology collide. Players control JC Denton, a nano-augmented agent working for UNATCO, as he uncovers a layered global conspiracy involving secret organizations, bioterrorism, and political manipulation. The game is known for its highly flexible mission design, allowing objectives to be approached through combat, stealth, hacking, lockpicking, dialogue choices, and exploration. Player decisions and skill choices shape how levels are completed and can influence story outcomes. Combining immersive sim mechanics with RPG progression, Deus Ex is widely regarded as a landmark title for player freedom, branching narrative design, and its blend of shooting, role-playing, and stealth systems."
59,Metal Gear Solid: The Legacy Collection,Action,"['Console', 'PlayStation 3']",2013-07-09,Kojima Productions,Konami,"Metal Gear Solid: The Legacy Collection is a compilation package for the PlayStation 3 that brings together a broad selection of games from the Metal Gear series. It includes Metal Gear, Metal Gear 2: Solid Snake, Metal Gear Solid, Metal Gear Solid 2: Sons of Liberty HD, Metal Gear Solid 3: Snake Eater HD, Metal Gear Solid 4: Guns of the Patriots, Metal Gear Solid: Peace Walker HD, and additional bonus materials such as digital graphic novels and a special trophy list. The collection was designed as a celebration of Hideo Kojima’s stealth-action franchise, offering a convenient way for players to experience the series’ key story chapters and modernized HD releases in one package."
